source,destination,weight
ORD,ATL,20
ATL,ORD,19
HKT,BKK,13
ORD,MSY,13
JFK,LHR,12
HKG,BKK,12
DOH,BAH,12
LHR,JFK,12
CAN,HGH,12
MIA,ATL,12
BKK,HKG,12
ATL,MIA,12
AUH,MCT,12
SFO,ATL,11
LAX,LHR,11
MSY,JFK,11
CDG,JFK,11
ATL,DFW,11
KGL,EBB,11
SYD,AKL,11
LHR,LAX,11
JFK,CDG,11
JFK,MSY,11
DEN,ATL,11
MCT,AUH,11
HRE,LUN,11
CNX,BKK,11
ATL,DEN,11
KMG,JHG,10
XIY,CKG,10
SIN,KUL,10
NRT,TPE,10
SIN,CGK,10
AKL,SYD,10
ICN,HKG,10
TPE,NRT,10
ICN,BKK,10
HGH,CAN,10
BKK,ICN,10
BKK,SIN,10
JFK,MXP,10
CGO,HGH,10
CGK,KUL,10
MLE,CMB,10
CMB,MLE,10
SIN,DPS,10
HGH,CGO,10
KUL,CGK,10
LHR,SFO,10
BKK,CNX,10
BKK,HKT,10
CKG,XIY,10
HGH,DLC,10
DPS,SIN,10
DLC,HGH,10
DFW,ATL,10
HKG,ICN,10
MXP,JFK,10
BAH,DOH,10
CGK,SIN,10
ORD,CDG,10
SFO,LHR,10
NRT,ICN,10
CDG,ORD,10
JHG,KMG,10
KUL,SIN,10
ICN,NRT,10
ATL,JFK,10
ATL,LAX,10
ATL,PHL,9
ATL,PHX,9
ATL,CUN,9
KUL,BKK,9
MAD,JFK,9
SHE,TAO,9
PHL,ATL,9
LHR,BOS,9
LAX,ATL,9
ATL,IND,9
ATL,RDU,9
RDU,ATL,9
FRA,DFW,9
TAO,SHE,9
ACE,LGW,9
CKG,KMG,9
LHW,URC,9
HGH,TAO,9
PHX,ATL,9
LAX,NRT,9
ORD,LHR,9
CPT,JNB,9
CNS,BNE,9
XNN,XIY,9
TAO,HGH,9
JNB,CPT,9
XMN,NKG,9
XIY,XNN,9
XIY,URC,9
SIN,BKK,9
JFK,MAD,9
SIN,PER,9
IAH,ATL,9
KMG,CTU,9
JAX,ATL,9
URC,CGO,9
URC,KHG,9
SIN,BNE,9
SIN,SYD,9
URC,XIY,9
LGW,ACE,9
KMG,CKG,9
LAS,LAX,9
BOS,LHR,9
IAD,ATL,9
IND,ATL,9
CGO,URC,9
ATL,IAD,9
ATL,JAX,9
ATL,IAH,9
PER,SIN,9
BKK,KUL,9
KHG,URC,9
ATL,MSY,9
CDG,MIA,9
